symbol,fold,method,y,p
AAPL,1,platt,0,0.611787621894946
AAPL,1,platt,0,0.7136131417830492
AAPL,1,platt,0,0.743931452783551
AAPL,1,platt,0,0.6520087750540137
AAPL,1,platt,0,0.65077142896593
AAPL,1,platt,1,0.6218229359313555
AAPL,1,platt,1,0.7131605996012925
AAPL,1,platt,1,0.8387952894190542
AAPL,1,platt,1,0.7337773590235016
AAPL,1,platt,1,0.6595699777508354
AAPL,1,platt,1,0.772600870261841
AAPL,1,platt,1,0.7569868064355831
AAPL,1,platt,0,0.7115876038030767
AAPL,1,platt,0,0.8210607505417846
AAPL,1,platt,0,0.7920326216708575
AAPL,1,platt,1,0.75448513790365
AAPL,1,platt,1,0.7481616278706289
AAPL,1,platt,1,0.7356137016680568
AAPL,1,platt,1,0.6854963306526088
AAPL,1,platt,1,0.699572959356642
AAPL,1,platt,1,0.7099036569825652
AAPL,1,platt,0,0.6981185626300086
AAPL,1,platt,0,0.658613750424714
AAPL,1,platt,0,0.7046971586492012
AAPL,1,platt,0,0.6776671103259878
AAPL,1,platt,0,0.6294861234890314
AAPL,1,platt,0,0.753861985127877
AAPL,1,platt,0,0.7540679295549088
AAPL,1,platt,0,0.7579836943266609
AAPL,1,platt,0,0.7428841565135696
AAPL,1,platt,0,0.7291814824075447
AAPL,1,platt,0,0.7126399454595682
AAPL,1,platt,0,0.7848965412764792
AAPL,1,platt,1,0.7379062445408628
AAPL,1,platt,1,0.609352203599579
AAPL,1,platt,1,0.6202407170096177
AAPL,1,platt,1,0.6509743752061066
AAPL,1,platt,1,0.7720521154916954
AAPL,1,platt,1,0.7715872726518739
AAPL,1,platt,1,0.7064995884139247
AAPL,1,platt,1,0.7801769107282182
AAPL,1,platt,1,0.6727155682893357
AAPL,1,platt,1,0.648491370542306
AAPL,1,platt,0,0.6824398711039591
AAPL,1,platt,0,0.728491583768754
AAPL,1,platt,0,0.6997531482359676
AAPL,1,platt,0,0.766171186027591
AAPL,1,platt,0,0.6016144185363317
AAPL,1,platt,0,0.6469980369379267
AAPL,1,platt,0,0.6963332743336198
AAPL,1,platt,1,0.7110466399676314
AAPL,1,platt,1,0.7810266270071174
AAPL,1,platt,1,0.6740705145104479
AAPL,1,platt,1,0.7421456484060356
AAPL,1,platt,1,0.688981427619494
AAPL,1,platt,1,0.7826746993261459
AAPL,1,platt,1,0.6822706807704251
AAPL,1,platt,0,0.7263057367022794
AAPL,1,platt,1,0.6583648780958853
AAPL,1,platt,1,0.6905440633083975
AAPL,1,platt,0,0.7286985072785579
AAPL,1,platt,1,0.7163831929557063
AAPL,1,platt,1,0.7481011529571543
AAPL,1,platt,1,0.8275937516559594
AAPL,1,platt,1,0.7432719715883253
AAPL,1,platt,1,0.6697743263802655
AAPL,1,platt,1,0.7922188902505222
AAPL,1,platt,1,0.8062385545314258
AAPL,1,platt,1,0.7778817913747034
AAPL,1,platt,1,0.768204856700445
AAPL,1,platt,1,0.7923618708719664
AAPL,1,platt,1,0.7798278874393039
AAPL,1,platt,1,0.7898911532665118
AAPL,1,platt,0,0.7654662712298828
AAPL,1,platt,0,0.8297724010830564
AAPL,1,platt,0,0.779074821383644
AAPL,1,platt,0,0.7395494594863661
AAPL,1,platt,0,0.7615781638293105
AAPL,1,platt,0,0.7660905194967923
AAPL,1,platt,0,0.8145992514561523
AAPL,1,platt,1,0.8143241360209056
AAPL,1,platt,0,0.7591465061798885
AAPL,1,platt,0,0.7852244526509362
AAPL,1,platt,0,0.80646883085923
AAPL,1,platt,1,0.7671027801936541
AAPL,1,platt,1,0.7865382091865447
AAPL,1,platt,1,0.7228992936960746
AAPL,1,platt,1,0.7751267478393469
AAPL,1,platt,1,0.7841818971161421
AAPL,1,platt,1,0.6825467063325907
AAPL,1,platt,1,0.7941407995881767
AAPL,1,platt,0,0.8285611394499317
AAPL,1,platt,0,0.8165140009307328
AAPL,1,platt,0,0.714064091659068
AAPL,1,platt,0,0.7678518672576181
AAPL,1,platt,1,0.7160609488162724
AAPL,1,platt,1,0.7811630031041135
AAPL,1,platt,1,0.7912025290223736
AAPL,1,platt,1,0.7986919754544393
AAPL,1,platt,1,0.7899358875400574
AAPL,1,platt,0,0.8160244819863794
AAPL,1,platt,0,0.7538481007203178
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.5
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.5
AAPL,1,isotonic,1,0.5
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,1,0.5
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.5
AAPL,1,isotonic,0,0.5
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,1,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
AAPL,1,isotonic,0,0.6864406779661016
